"행정구역별","각세별",2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024
"행정구역별","각세별",총전입,총전출,순이동,시군구내,시군구간전입,시군구간전출,시도간전입,시도간전출,총전입,총전출,순이동,시군구내,시군구간전입,시군구간전출,시도간전입,시도간전출,총전입,총전출,순이동,시군구내,시군구간전입,시군구간전출,시도간전입,시도간전출,총전입,총전출,순이동,시군구내,시군구간전입,시군구간전출,시도간전입,시도간전출,총전입,총전출,순이동,시군구내,시군구간전입,시군구간전출,시도간전입,시도간전출
"부산광역시","20세",7153,6650,503,1797,2507,2507,2849,2346,6529,6169,360,1556,2118,2118,2855,2495,5481,4964,517,1039,1737,1737,2705,2188,4990,4451,539,904,1533,1533,2553,2014,5416,4911,505,967,1704,1704,2745,2240
"부산광역시","21세",8172,7304,868,1867,2806,2806,3499,2631,8088,7204,884,1667,2571,2571,3850,2966,7821,6621,1200,1361,2390,2390,4070,2870,6733,5524,1209,1079,1981,1981,3673,2464,6774,5635,1139,1032,2083,2083,3659,2520
"부산광역시","22세",10198,9684,514,2187,3501,3501,4510,3996,9787,9186,601,1969,3205,3205,4613,4012,9616,8881,735,1655,3181,3181,4780,4045,9031,8233,798,1518,2897,2897,4616,3818,8518,8034,484,1330,2821,2821,4367,3883
"부산광역시","23세",10913,10941,-28,2372,4041,4041,4500,4528,10830,11007,-177,2255,3967,3967,4608,4785,9409,9640,-231,1796,3477,3477,4136,4367,9252,9361,-109,1618,3368,3368,4266,4375,9662,9861,-199,1689,3533,3533,4440,4639
"부산광역시","24세",11935,12575,-640,2722,4604,4604,4609,5249,11353,12129,-776,2468,4353,4353,4532,5308,10283,11234,-951,1956,4059,4059,4268,5219,9482,10372,-890,1757,3654,3654,4071,4961,10067,11223,-1156,1736,3966,3966,4365,5521
"부산광역시","25세",12336,13433,-1097,2894,4906,4906,4536,5633,11912,13425,-1513,2517,4963,4963,4432,5945,10549,11835,-1286,2077,4339,4339,4133,5419,9688,11106,-1418,1922,3957,3957,3809,5227,9710,11044,-1334,1796,3907,3907,4007,5341
"부산광역시","26세",12177,13431,-1254,2809,5201,5201,4167,5421,12308,13776,-1468,2858,5307,5307,4143,5611,10811,12207,-1396,2241,4696,4696,3874,5270,9957,11192,-1235,2079,4161,4161,3717,4952,9995,11203,-1208,1972,4215,4215,3808,5016
"부산광역시","27세",12365,13520,-1155,2969,5345,5345,4051,5206,12135,13288,-1153,2728,5470,5470,3937,5090,10735,11914,-1179,2359,4775,4775,3601,4780,10118,11248,-1130,2118,4462,4462,3538,4668,9842,10908,-1066,2056,4298,4298,3488,4554
"부산광역시","28세",12731,13713,-982,3108,5881,5881,3742,4724,12668,13458,-790,2909,5834,5834,3925,4715,10793,11725,-932,2406,5070,5070,3317,4249,10122,11108,-986,2219,4671,4671,3232,4218,10228,11147,-919,2216,4721,4721,3291,4210
"부산광역시","29세",11763,12390,-627,2912,5524,5524,3327,3954,12373,13129,-756,2857,5928,5928,3588,4344,10642,11396,-754,2372,5080,5080,3190,3944,10331,11007,-676,2344,4949,4949,3038,3714,9993,10836,-843,2204,4779,4779,3010,3853
